calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,Ton 469,PUBLIC,mast:HST/product/leys13bxq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100905,HST,leys13bxq,214100901,,leys13bxq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13bqq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100906,HST,leys13bqq,214100901,,leys13bqq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13c7q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100907,HST,leys13c7q,214100901,,leys13c7q_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13bnq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100908,HST,leys13bnq,214100901,,leys13bnq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13bvq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100909,HST,leys13bvq,214100901,,leys13bvq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13blq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100910,HST,leys13blq,214100901,,leys13blq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13bsq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100911,HST,leys13bsq,214100901,,leys13bsq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13c5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100912,HST,leys13c5q,214100901,,leys13c5q_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13c9q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100913,HST,leys13c9q,214100901,,leys13c9q_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13c2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100921,HST,leys13c2q,214100901,,leys13c2q_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13cbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100924,HST,leys13cbq,214100901,,leys13cbq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13zhq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691340,HST,lecy13zhq,71735262,,lecy13zhq_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13zfq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691341,HST,lecy13zfq,71735262,,lecy13zfq_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13zdq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691358,HST,lecy13zdq,71735262,,lecy13zdq_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
3,LEDA 51016,PUBLIC,mast:HST/product/lecy13030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,71735262,HST,lecy13030,71735262,,lecy13030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,16301,3.6.1,1814400,D
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13z1q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,71691351,HST,lecy13z1q,71735260,,lecy13z1q_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13z5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,71691357,HST,lecy13z5q,71735260,,lecy13z5q_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
3,LEDA 51016,PUBLIC,mast:HST/product/lecy13010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,71735260,HST,lecy13010,71735260,,lecy13010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,16301,3.6.1,1817280,D
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13z9q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691344,HST,lecy13z9q,71735261,,lecy13z9q_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13zbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691347,HST,lecy13zbq,71735261,,lecy13zbq_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
2,LEDA 51016,PUBLIC,mast:HST/product/lecy13z7q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71691352,HST,lecy13z7q,71735261,,lecy13z7q_x1d.fits,,X1D,SCIENCE,CALCOS,16301,3.6.1,3389760,S
3,LEDA 51016,PUBLIC,mast:HST/product/lecy13020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,71735261,HST,lecy13020,71735261,,lecy13020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,16301,3.6.1,1817280,D
2,2MASS J09503674+5128382,PUBLIC,mast:HST/product/lepa01frq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,79289218,HST,lepa01frq,79289783,,lepa01frq_x1d.fits,,X1D,SCIENCE,CALCOS,16765,3.6.1,3389760,S
2,2MASS J09503674+5128382,PUBLIC,mast:HST/product/lepa01fxq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,79289219,HST,lepa01fxq,79289783,,lepa01fxq_x1d.fits,,X1D,SCIENCE,CALCOS,16765,3.6.1,3389760,S
2,2MASS J09503674+5128382,PUBLIC,mast:HST/product/lepa01fpq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,79289220,HST,lepa01fpq,79289783,,lepa01fpq_x1d.fits,,X1D,SCIENCE,CALCOS,16765,3.6.1,3389760,S
2,2MASS J09503674+5128382,PUBLIC,mast:HST/product/lepa01ftq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,79289221,HST,lepa01ftq,79289783,,lepa01ftq_x1d.fits,,X1D,SCIENCE,CALCOS,16765,3.6.1,3389760,S
2,2MASS J09503674+5128382,PUBLIC,mast:HST/product/lepa01fvq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,79289227,HST,lepa01fvq,79289783,,lepa01fvq_x1d.fits,,X1D,SCIENCE,CALCOS,16765,3.6.1,3389760,S
