mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
WD0501+527,76.37823071859,52.83118224696,2221.0,3301.0,y2k00302t,24.0,FOS/RD,CALIBRATION;FLAT FIELD;PHOTOMETR,5538,1,unfiltered
STAR2-OFFSET,85.05629136806,-69.33197335745,,,y2m00201t,20.99953269958,FOS/RD,CALIBRATION;APERTURE LOCATION;,5680,1,unfiltered
QSO1422P231-B,216.1583559682,22.9332305439,,,y2mz0102t,60.0,FOS/RD,GALAXY;QUASAR;GRAVITATIONAL LENS,5692,1,unfiltered
QSO1422P231-BOFF1,216.1588416667,22.93358611111,,,y2mz0106t,640.0,FOS/RD,GALAXY;QUASAR;GRAVITATIONAL LENS,5692,1,unfiltered
STAR-1520-5710-SPECTRUM,230.170206872,-57.16649781763,,,y2mr0103t,314.9887695313,FOS/RD,EXT-STAR;LMXB;,5697,1,unfiltered
QSO1422P231-B,216.158725,22.93349722222,,,y2mz0105t,640.0,FOS/RD,GALAXY;QUASAR;GRAVITATIONAL LENS,5692,1,unfiltered
CIR-X1-OFFSET,230.165696063,-57.1541794336,,,y2mr0102t,299.9925231934,FOS/RD,UNIDENTIFIED;OPTICAL EMITTER;,5697,1,unfiltered
CIR-X1-OFFSET,230.165833273,-57.154765951,,,y2mr0101t,74.99813079834,FOS/RD,UNIDENTIFIED;OPTICAL EMITTER;,5697,1,unfiltered
PG1630+377,248.0045569912,37.6303698333,,,y2n40103t,174.9961090088,FOS/RD,GALAXY;QSO;LYMAN ALPHA CLOUD;;EX,5698,1,unfiltered
PG1630+377,248.0045082946,37.63031724883,,,y2n40102t,16.0,FOS/RD,GALAXY;QSO;LYMAN ALPHA CLOUD;;EX,5698,1,unfiltered
WAVE,,,1573.0,2330.0,y2n40107t,20.0,FOS/RD,,5698,2,unfiltered
WAVE,,,2221.0,3301.0,y2n40104t,5.0,FOS/RD,,5698,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0e0bt,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0e05t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0e09t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0e08t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0e01t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1573.0,2330.0,y2nc0c09t,54.0,FOS/RD,,6146,2,unfiltered
WAVE,,,2221.0,3301.0,y2nc0c08t,24.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0c07t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1573.0,2330.0,y2nc0b09t,54.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3540.0,9022.0,y2nc0b03t,18.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1500.0,8950.0,y2nc0b02t,6.0,FOS/RD,,6146,2,unfiltered
TALED,275.6566340104,-29.21507010347,,,y2nc0c01t,66.0,FOS/RD,,6146,2,unfiltered
WAVE,,,6270.0,8500.0,y2nc0b05t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y2nc0c06t,6.0,FOS/RD,,6146,2,unfiltered
TALED,340.0826790191,3.235056315451,,,y2nc0b01t,66.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1573.0,2330.0,y2nc0a09t,54.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1500.0,8950.0,y2nc0c02t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,2221.0,3301.0,y2nc0a08t,24.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3240.0,4822.0,y2nc0a07t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,1500.0,8950.0,y2nc0a02t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,6270.0,8500.0,y2nc0a05t,6.0,FOS/RD,,6146,2,unfiltered
WAVE,,,3540.0,9022.0,y2nc0c03t,18.0,FOS/RD,,6146,2,unfiltered
