Name,RA,DEC,z,LogLnu2500,Z_SDSS,L3000_THB21
121652.41+004301.7,184.21839590343131,0.717150304342114,2.9499,30.773421189929557,2.9560000000000004,45.78890452276166
121858.15+005053.7,184.74229521333402,0.8482683921517069,3.10637,30.98362926467749,3.0839999999999996,45.86042790509355
123012.55+002755.0,187.55229575432202,0.4652847997428193,3.05818,30.699062420097015,3.062,45.77167240948891
123214.03+004037.7,188.05847860709213,0.677163527427032,2.34721,30.540121230824077,2.366,45.68528707106737
124547.24-004845.2,191.4468644265464,-0.8125738128951482,2.37951,30.339230547957655,2.373,45.164116894611126
152459.25+275327.2,231.2469056444527,27.8908904541175,3.09918,30.88236008179635,3.092,46.05776787635018
151828.26+264404.1,229.61776040939392,26.73447265863237,2.24992,30.306867505197438,2.251,45.036222020731394
135614.53+365659.4,209.0605525614339,36.94985852825757,2.27646,30.32778811535084,2.2840000000000003,45.31387953082493
135608.66+364252.3,209.0360875714889,36.714550254529314,2.8707,30.681009033085964,2.864,45.86231491291543
135735.57+372857.9,209.39822873251518,37.482765645102965,3.03431,31.075808054196166,3.035,46.10016045933524
140443.43+372042.7,211.18098805953656,37.34519942964326,2.89294,30.421043936113705,2.9010000000000002,45.645652923853596
141624.62+364720.1,214.10259377474446,36.78891861967283,2.78499,30.499798311655546,2.7880000000000003,45.67091080799783
134208.86+322419.0,205.53694176643774,32.405300732075936,2.2929,30.281646289644044,2.298,45.31112909558366
134134.51+340216.6,205.3938144882202,34.037967483662015,2.24097,30.24714633315328,2.2430000000000003,45.22998316492834
140542.94+345550.4,211.42895666839058,34.93068582587242,3.04986,31.146032242098464,3.051,46.0243567441796
143604.64+350428.5,219.019369131654,35.07460897281951,3.02856,31.080046841787954,3.04,46.11083431699664
142605.26+325051.3,216.52193535113054,32.847594753385586,2.11627,30.271624956529287,2.129,45.302370359352494
144406.69+331345.8,221.027879133828,33.229413350436026,3.05338,31.26415723651833,3.053,46.52115556074057
145116.26+322759.2,222.8177828418803,32.46644731021013,2.19361,30.253406600387017,2.18,45.474554450866904
145001.90+332201.2,222.50792316292603,33.36702251508862,3.08655,31.68107296498428,3.089,46.58924349293731
144940.48+324245.0,222.41870541798957,32.71251310601163,2.04937,30.211726816141002,2.046,45.21828851863746
145952.05+321320.3,224.9668899941274,32.22232208466342,3.02402,31.405291395559367,3.014,46.3422764798339
151951.41+303011.5,229.96424232497512,30.503205608427248,3.09908,31.49001096598912,3.096,46.48679404819347
